# Preferred Replacements (original|suggestion)
# Use these to enforce specific vocabulary choices

# --- Media & Personal ---
போட்டோ|நிழற்படம்
போட்டோவை|நிழற்படத்தை
போட்டோவில்|நிழற்படத்தில்
போலீஸ்|காவல்துறை
போலீசை|காவல்துறையினரை
ப்ளீஸ்|தயவுசெய்து
உங்க|உங்கள்
குட்டிஸ்|குழந்தைகள்

# --- Transport & Travel ---
பஸ்|பேருந்து
பஸ்ஸில்|பேருந்தில்
பஸ்ஸை|பேருந்தை
பஸ்ஸுக்கு|பேருந்துக்கு
டிக்கெட்|பயணச்சீட்டு
டிக்கெட்டை|பயணச்சீட்டை
கார்|மகிழுந்து
லாரி|சரக்குந்து
டிரைவர்|ஓட்டுநர்
ஸ்டேஷன்|நிலையம்
ரோடு|சாலை
ரோட்டில்|சாலையில்
ரோட்டை|சாலையை
சைக்கிள்|மிதிவண்டி
பைக்|இருசக்கர வாகனம்
ஏர்போர்ட்|விமான நிலையம்
பிளைட்|விமானம்
டிரெயின்|தொடர்வண்டி
பிளாட்பார்ம்|நடைமேடை

# --- Technology ---
கம்ப்யூட்டர்|கணினி
கம்ப்யூட்டரில்|கணினியில்
கம்ப்யூட்டரை|கணினியை
கம்ப்யூட்டருக்கு|கணினிக்கு
மொபைல்|கைபேசி
மொபைலில்|கைபேசியில்
மொபைலை|கைபேசியை
நம்பர்|எண்
நம்பரை|எண்ணை
வீடியோ|காணொளி
ஆடியோ|ஒலி
மெசேஜ்|செய்தி
டிவி|தொலைக்காட்சி
ஆன்லைன்|இணையவழி

# --- Education & Career ---
ஸ்கூல்|பள்ளி
ஸ்கூலில்|பள்ளியில்
ஸ்கூலை|பள்ளியை
ஸ்கூலுக்கு|பள்ளிக்கு
காலேஜ்|கல்லூரி
ஆபீஸ்|அலுவலகம்
ஆபீஸில்|அலுவலகத்தில்
ஆபீஸை|அலுவலகத்தை
ஆபீஸுக்கு|அலுவலகத்திற்கு
ஸ்டூடண்ட்|மாணவர்
படிப்பு|கல்வி
டாக்டர்|மருத்துவர்
இன்ஜினியர்|பொறியாளர்
ஆர்டர்|ஆணை
பெர்மிஷன்|அனுமதி
பிளான்|திட்டம்
டெஸ்ட்|தேர்வு
ரிசல்ட்|முடிவு

# --- Banking & Finance ---
பேங்க்|வங்கி
பேங்கில்|வங்கியில்
பேங்க்|வங்கி
கார்டு|அட்டை
கார்டில்|அட்டையில்
காசு|பணம்
செக்|காசோலை
பாஸ்போர்ட்|கடவுச்சீட்டு
விசா|நுழைவு இசைவு

# --- Objects & Stationery ---
புக்|புத்தகம்
புக்கில்|புத்தகத்தில்
புக்கை|புத்தகத்தை
பேப்பர்|தாள்
பென்சில்|கரிக்கோல்
பேனா|எழுதுகோல்
பேக்|பை
பேக்கில்|பையில்
பேக்கை|பையை

# --- Home & Professional ---
டேபிள்|மேசை
சேர்|நாற்காலி
விண்டோ|சன்னல்
டோர்|கதவு
ஹோட்டல்|விடுதி
ரூம்|அறை
ரூமில்|அறையில்
ரூமை|அறையை

# --- General Daily Use ---
நியூஸ்|செய்தி
லைட்|விளக்கு
பேன்|மின்விசிறி
டைம்|நேரம்
லஞ்ச்|மதிய உணவு
காபி|குளம்பி
டீ|தேநீர்
ரெடி|தயார்
வெரி|மிகவும்
சூப்பர்|அருமை, அருமையான
சிட்டி|மாநகரம்
ஏரியா|பகுதி

# --- Numbers ---
இரன்டு|இரண்டு
ஒன்னு|ஒன்று
ஒன்ரு|ஒன்று
ரெண்டு|இரண்டு
மூனு|மூன்று
மூன்ரு|மூன்று
நாலு|நான்கு
அஞ்சு|ஐந்து
ஒம்பது|ஒன்பது
ஒம்போது|ஒன்பது
நூரு|நூறு
ஒன்னாவது|முதலாவது
ரெண்டாவது|இரண்டாவது
மூனாவது|மூன்றாவது
நாலாவது|நான்காவது
அஞ்சாவது|ஐந்தாவது
பன்னிரெண்டு|பன்னிரண்டு
பன்னிரெண்டாவது|பன்னிரண்டாவது
பன்னிரெண்டாம்|பன்னிரண்டாம்
பதிமூணு|பதிமூன்று
பதிமூணாவது|பதிமூன்றாவது
லட்சம்|இலட்சம்
நூத்தி|நூற்று


# numbers in tanglish
ஒன்|ஒன்று
டூ|இரண்டு
த்ரீ|மூன்று
ஃபோர்|நான்கு
ஃபைவ்|ஐந்து
சிக்ஸ்|ஆறு
செவன்|ஏழு
எய்ட்|எட்டு
நைன்|ஒன்பது
டென்|பத்து
லெவன்|பதினொன்று
டுவல்வ்|பன்னிரண்டு
தர்டீன்|பதிமூன்று
போர்டீன்|பதினான்கு
ஃபைஃப்டீன்|பதினைந்து
சிக்ஸ்டீன்|பதினாறு
செவன்டீன்|பதினேழு
எய்ட்டீன்|பதினெட்டு
நைன்டீன்|பத்தொன்பது
ட்வென்டி|இருபது
ட்வென்டி ஒன்|இருபத்தி ஒன்று
ட்வென்டி டூ|இருபத்தி இரண்டு
ட்வென்டி த்ரீ|இருபத்தி மூன்று
ட்வென்டி ஃபோர்|இருபத்தி நான்கு
ட்வென்டி ஃபைவ்|இருபத்தி ஐந்து
ட்வென்டி சிக்ஸ்|இருபத்தி ஆறு
ட்வென்டி செவன்|இருபத்தி ஏழு
ட்வென்டி எய்ட்|இருபத்தி எட்டு
ட்வென்டி நைன்|இருபத்தி ஒன்பது


# --- Time & Common Colloquialisms ---
தட்|அது
திஸ்|இது
இப்ப|இப்பொழுது
அப்ப|அப்பொழுது
எப்ப|எப்பொழுது
நேத்து|நேற்று
நாளைக்கி|நாளை
ஆனா|ஆனால்
அப்புறம்|பிறகு
நல்லா|நன்றாக
நெறைய|நிறைய
ரொம்ப|மிகவும்
வெளில|வெளியே
கீழ|கீழே
மேல|மேலே
இங்க|இங்கே
அங்க|அங்கே

# --- Professional & Formal ---
மனு|விண்ணப்பம்
கரண்ட்|மின்சாரம்
தண்ணி|தண்ணீர்
ரேட்|விலை
நோட்டீஸ்|அறிவிப்பு
சேலரி|ஊதியம்
நிச்சயமா|நிச்சயமாக
கண்டிப்பா|கண்டிப்பாக
சீக்கிரமா|விரைவாக
அதிகமா|அதிகமாக
குறைவா|குறைவாக

# --- Technology & Digital ---
லிங்க்|இணைப்பு
வெப்சைட்|இணையதளம்
ஈமெயில்|மின்னஞ்சல்
சாப்ட்வேர்|மென்பொருள்
பாஸ்வேர்ட்|கடவுச்சொல்
யூசர்|பயனர்
கிளிக்|சொடுக்கு
பைல்|கோப்பு
ஹார்டுவேர்|வன்பொருள்
கீபோர்டு|விசைப்பலகை
மவுஸ்|சுட்டி
ஸ்கிரீன்|திரை
மானிட்டர்|திரை
லேப்டாப்|மடிக்கணினி
பிரிண்டர்|அச்சுப்பொறி
ஸ்கேனர்|வருடி
ஸ்பீக்கர்|ஒலிபெருக்கி
ஹெட்போன்|காதொலிப்பான்
சார்ஜர்|மின்னூட்டி
பேட்டரி|மின்கலம்
சிக்னல்|சமிக்ஞை

# --- Office & Administration ---
மீட்டிங்|கூட்டம்
லெட்டர்|கடிதம்
அறிக்கை|செய்தி
பட்ஜெட்|வரவு செலவுத் திட்டம்
செக்|காசோலை
லோன்|கடன்
இன்சூரன்ஸ்|காப்பீடு
பாலிசி|கொள்கை
டாக்குமெண்ட்|ஆவணம்
சர்டிபிகேட்|சான்றிதழ்
அப்ளிகேஷன்|விண்ணப்பம்
அட்மிஷன்|சேர்க்கை
பீஸ்|கட்டணம்
எக்ஸாம்|தேர்வு
பாஸ்|தேர்ச்சி
பெயில்|தோல்வி
ரிசல்ட்|முடிவு
மார்க்|மதிப்பெண்
ரேங்க்|தரம்
டிகிரி|பட்டம்
கோர்ஸ்|வகுப்பு
சப்ஜெக்ட்|பாடம்
Doctor|மருத்துவர்
டாக்டர்|மருத்துவர்
Engineer|பொறியாளர்
இன்ஜினியர்|பொறியாளர்
பிண்ணனி|பின்னணி




# --- Daily Infrastructure ---
பில்டிங்|கட்டிடம்
பிளாட்|அடுக்குமாடி
ஏசி|குளிர்சாதனம்
பிரிட்ஜ்|குளிர்பதனப்பெட்டி
வாஷிங் மெஷின்|துவைப்பொறி
சுவிட்ச்|மின்விசை
ஒயர்|மின்கம்பி
பிளான்|திட்டம்
ஐடியா|எண்ணம்
டார்கெட்|இலக்கு
ஆபர்|சலுகை
டிஸ்கவுண்ட்|தள்ளுபடி
பில்|ரசீது

# --- Stationery & Time ---
ரப்பர்|அழிப்பான்
ஸ்கேல்|அளவுகோல்
நோட்டு|குறிப்பேடு
காலண்டர்|நாட்காட்டி
வாட்ச்|கடிகாரம்
செகண்ட்|நொடி
மினிட்|நிமிடம்
இயர்|ஆண்டு
பர்த் டே|பிறந்தநாள்
மேரேஜ்|திருமணம்
பங்க்ஷன்|விழா
கெஸ்ட்|விருந்தினர்
கிப்ட்|பரிசு

# --- Spoken Verb Endings (Colloquial -> Formal) ---
செஞ்சு|செய்து
பண்ணி|செய்து
ஒக்காந்து|அமர்ந்து
உக்காந்து|அமர்ந்து
பிடிச்சு|பிடித்து
முடிச்சு|முடித்து
கெடச்சு|கிடைத்து
நெனச்சு|நினைத்து
பொறந்து|பிறந்து
பார்த்து|நாளும்
பேசறாங்க|பேசுகிறார்கள்
செய்யறாங்க|செய்கிறார்கள்
வர்றாங்க|வருகிறார்கள்
போறாங்க|போகிறார்கள்
இருக்காங்க|இருக்கிறார்கள்
படிக்கறாங்க|படிக்கிறார்கள்
பண்ணறாங்க|செய்கிறார்கள்

# --- Miscellaneous ---
ரெஸ்பெக்ட்|மரியாதை
மன்னிச்சுடுங்க|மன்னிக்கவும்
தேங்க்ஸ்|நன்றி
ஹலோ|வணக்கம்
ஓகே|சரி
சைடு|பக்கம்
கார்னர்|மூலை
ரேட்|விலை
களரிப்பயற்று|களரிப்பயிற்று
ஓட்டுனர்|ஓட்டுநர்
நல்லெண்ணை|நல்லெண்ணெய்
எண்ணை|எண்ணெய்


எற்பட்டுவிடக்கூடாது | ஏற்பட்டுவிடக்கூடாது
வாழ்வதாரம் | வாழ்வாதாரம்
விபத்துக்குளாகின்ற | விபத்துக்குள்ளாகின்ற
சிசிச்சை | சிகிச்சை
ஜந்தொழில் | ஐந்தொழில்
ஜந்து | ஐந்து
பல்கலைக்கழங்களில் | பல்கலைக்கழகங்களில்
உணவங்கள் | உணவகங்கள்
தவனை | தவணை
ஊடகவியளர்களுக்கும் | ஊடகவியலாளர்களுக்கும்
கையாலாகாதனத்தால் | கையாலாகாத்தனத்தால்
முயற்சித்தது|முயன்றது
முயற்சிக்கிறது|முயல்கிறது
வேண்டும|வேண்டும்
அமல்நடத்த|அமல்படுத்த
நியாமான|நியாயமான
பாராட்டுக்கள்|பாராட்டுகள்
வாழ்த்துக்கள்|வாழ்த்துகள்
சாதரண|சாதாரண
ஆகாமால்|ஆகாமல்
இருப்பேண்டா|இருப்பேன்
எடுத்துகிட்டேன்|எடுத்துக் கொண்டேன்
பார்த்துகிட்டேன்|பார்த்துக் கொண்டேன்
செமயாக|செம்மையாக
பிஎச்.டி|பி.எச்.டி
பிஹெச்டி|பி.எச்.டி
பிஎச்டி|பி.எச்.டி
தொடங்கும்போது|தொடங்கும் போது
 
